CountryCode,subset,question_code,question_label,answer,percentage,CountryCode_encoded,subset_Bisexual women,subset_Gay,subset_Lesbian,subset_Transgender,question_code_encoded,question_label_encoded,answer_encoded,_record_id
Bulgaria,Lesbian,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Don`t know,4,3,False,False,True,False,0,21,23,54
Bulgaria,Gay,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Very widespread,42,3,False,True,False,False,0,21,54,55
Bulgaria,Gay,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Fairly widespread,34,3,False,True,False,False,0,21,26,56
Bulgaria,Gay,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Fairly rare,18,3,False,True,False,False,0,21,25,57
Bulgaria,Gay,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Very rare,4,3,False,True,False,False,0,21,53,58
Bulgaria,Gay,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Don`t know,3,3,False,True,False,False,0,21,23,59
Bulgaria,Bisexual women,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Very widespread,39,3,True,False,False,False,0,21,54,60
Bulgaria,Bisexual women,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Fairly widespread,37,3,True,False,False,False,0,21,26,61
Bulgaria,Bisexual women,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Fairly rare,17,3,True,False,False,False,0,21,25,62
Bulgaria,Bisexual women,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Very rare,3,3,True,False,False,False,0,21,53,63
Bulgaria,Bisexual women,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Don`t know,4,3,True,False,False,False,0,21,23,64
Bulgaria,Bisexual men,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Very widespread,38,3,False,False,False,False,0,21,54,65
Bulgaria,Bisexual men,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Fairly widespread,26,3,False,False,False,False,0,21,26,66
Bulgaria,Bisexual men,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Fairly rare,24,3,False,False,False,False,0,21,25,67
Bulgaria,Bisexual men,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Very rare,8,3,False,False,False,False,0,21,53,68
Bulgaria,Bisexual men,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Don`t know,5,3,False,False,False,False,0,21,23,69
Bulgaria,Transgender,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Very widespread,43,3,False,False,False,True,0,21,54,70
Bulgaria,Transgender,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Fairly widespread,37,3,False,False,False,True,0,21,26,71
Bulgaria,Transgender,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Fairly rare,14,3,False,False,False,True,0,21,25,72
Bulgaria,Transgender,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Very rare,3,3,False,False,False,True,0,21,53,73
Bulgaria,Transgender,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Don`t know,3,3,False,False,False,True,0,21,23,74
Cyprus,Lesbian,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Very widespread,32,5,False,False,True,False,0,21,54,75
Cyprus,Lesbian,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Fairly widespread,34,5,False,False,True,False,0,21,26,76
Cyprus,Lesbian,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Fairly rare,27,5,False,False,True,False,0,21,25,77
Cyprus,Lesbian,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Very rare,5,5,False,False,True,False,0,21,53,78
Cyprus,Lesbian,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Don`t know,2,5,False,False,True,False,0,21,23,79
Cyprus,Gay,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Very widespread,30,5,False,True,False,False,0,21,54,80
Cyprus,Gay,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Fairly widespread,29,5,False,True,False,False,0,21,26,81
Cyprus,Gay,b1_a,"In your opinion, how widespread is offensive language about lesbian, gay, bisexual and/or transgender people by politicians in the country where you live?",Fairly rare,28,5,False,True,False,False,0,21,25,82
